indicatorId,geoUnit,year,type,subtype,value
25057,BEN,2020,Data Status,Data reporting,NA
25057,BEN,2020,Source,Data sources,UIS Education Survey
25057,BEN,2021,Data Status,Data reporting,NA
25057,BEN,2021,Source,Data sources,UIS Education Survey
25057,BEN,2022,Data Status,Data reporting,NA
25057,BEN,2022,Source,Data sources,UIS Education Survey
25057,BFA,2002,Data Status,Data reporting,NA
25057,BFA,2002,Source,Data sources,UIS Education Survey
25057,BFA,2003,Data Status,Data reporting,NA
25057,BFA,2003,Source,Data sources,UIS Education Survey
25057,BFA,2005,Data Status,Data reporting,NA
25057,BFA,2005,Source,Data sources,UIS Education Survey
25057,BFA,2006,Data Status,Data reporting,NA
25057,BFA,2006,Source,Data sources,UIS Education Survey
25057,BFA,2007,Data Status,Data reporting,NA
25057,BFA,2007,Source,Data sources,UIS Education Survey
25057,BFA,2008,Data Status,Data reporting,NA
25057,BFA,2008,Source,Data sources,UIS Education Survey
25057,BFA,2009,Data Status,Data reporting,NA
25057,BFA,2009,Source,Data sources,UIS Education Survey
25057,BFA,2010,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,BFA,2011,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,BFA,2012,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,BFA,2013,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,BFA,2014,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,BFA,2015,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,BFA,2016,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,BFA,2017,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,BFA,2018,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,BFA,2019,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,BFA,2020,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,BFA,2021,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,BFA,2022,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,BFA,2023,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,BFA,2024,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,BGD,2000,Data Status,Data reporting,NA
25057,BGD,2000,Source,Data sources,UIS Education Survey
25057,BGD,2001,Data Status,Data reporting,NA
25057,BGD,2001,Source,Data sources,UIS Education Survey
25057,BGD,2002,Data Status,Data reporting,NA
25057,BGD,2002,Source,Data sources,UIS Education Survey
25057,BGD,2003,Data Status,Data reporting,NA
25057,BGD,2003,Source,Data sources,UIS Education Survey
25057,BGD,2004,Data Status,Data reporting,NA
25057,BGD,2004,Source,Data sources,UIS Education Survey
25057,BGD,2005,Data Status,Data reporting,NA
25057,BGD,2005,Source,Data sources,UIS Education Survey
25057,BGD,2006,Data Status,Data reporting,NA
25057,BGD,2006,Source,Data sources,UIS Education Survey
25057,BGD,2007,Data Status,Data reporting,NA
25057,BGD,2007,Source,Data sources,UIS Education Survey
25057,BGD,2008,Data Status,Data reporting,NA
25057,BGD,2008,Source,Data sources,UIS Education Survey
25057,BGD,2009,Data Status,Data reporting,NA
25057,BGD,2009,Source,Data sources,UIS Education Survey
25057,BGD,2011,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,BGD,2012,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,BGD,2013,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,BGD,2014,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,BGD,2015,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,BGD,2016,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,BGD,2017,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,BGD,2018,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
