indicatorId,geoUnit,year,type,subtype,value
GER.1.F,ARG,2019,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,ARG,2019,Source,Data sources,UIS Education Survey
GER.1.F,ARG,2020,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,ARG,2020,Source,Data sources,UIS Education Survey
GER.1.F,ARG,2021,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,ARG,2021,Source,Data sources,UIS Education Survey
GER.1.F,ARG,2022,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,ARG,2022,Source,Data sources,UIS Education Survey
GER.1.F,ARG,2023,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
GER.1.F,ARM,2000,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,ARM,2000,Source,Data sources,UIS Education Survey
GER.1.F,ARM,2001,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,ARM,2001,Source,Data sources,UIS Education Survey
GER.1.F,ARM,2002,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,ARM,2002,Source,Data sources,UIS Education Survey
GER.1.F,ARM,2003,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,ARM,2003,Source,Data sources,UIS Education Survey
GER.1.F,ARM,2004,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,ARM,2004,Source,Data sources,UIS Education Survey
GER.1.F,ARM,2005,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,ARM,2005,Source,Data sources,UIS Education Survey
GER.1.F,ARM,2006,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,ARM,2006,Source,Data sources,UIS Education Survey
GER.1.F,ARM,2007,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,ARM,2007,Source,Data sources,UIS Education Survey
GER.1.F,ARM,2008,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,ARM,2008,Source,Data sources,UIS Education Survey
GER.1.F,ARM,2009,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,ARM,2009,Source,Data sources,UIS Education Survey
GER.1.F,ARM,2010,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
GER.1.F,ARM,2011,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
GER.1.F,ARM,2012,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
GER.1.F,ARM,2013,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
GER.1.F,ARM,2014,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
GER.1.F,ARM,2015,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
GER.1.F,ARM,2016,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
GER.1.F,ARM,2017,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
GER.1.F,ARM,2018,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
GER.1.F,ARM,2019,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
GER.1.F,ARM,2020,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
GER.1.F,ARM,2021,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
GER.1.F,ARM,2022,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
GER.1.F,ARM,2023,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
GER.1.F,ARM,2024,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
GER.1.F,ATG,2007,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,ATG,2007,Source,Data sources,UIS Education Survey
GER.1.F,ATG,2008,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,ATG,2008,Source,Data sources,UIS Education Survey
GER.1.F,ATG,2009,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,ATG,2009,Source,Data sources,UIS Education Survey
GER.1.F,ATG,2010,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,ATG,2010,Source,Data sources,UIS Education Survey
GER.1.F,ATG,2011,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,ATG,2011,Source,Data sources,UIS Education Survey
GER.1.F,ATG,2012,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,ATG,2012,Source,Data sources,UIS Education Survey
GER.1.F,ATG,2013,Source,Data sources,Source: UIS Dynamic Template based on Antigua and Barbuda Educational Statistical Digest 2012 - 2015 (https://statistics.gov.ag/wp-content/uploads/2017/11/Education-Statistical-Digest-2012-2015.pdf)
GER.1.F,ATG,2014,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,ATG,2014,Source,Data sources,UIS Education Survey
GER.1.F,ATG,2015,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,ATG,2015,Source,Data sources,UIS Education Survey
GER.1.F,ATG,2016,Source,Data sources,Source: UIS Dynamic Template based on OECS Educational Statistical Digest 2015 - 16 (https://www.oecs.org/en/our-work/knowledge/library/oecs-education-digital-digest-2015-2016/download)
GER.1.F,ATG,2017,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,ATG,2017,Source,Data sources,UIS Education Survey
GER.1.F,ATG,2018,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,ATG,2018,Source,Data sources,UIS Education Survey
GER.1.F,ATG,2019,Source,Data sources,Source: UIS Dynamic Template based on OECS Educational Statistical Digest 2018 - 19 (https://www.oecs.org/en/our-work/knowledge/library/education-statistical-digest-2018-19/download)
GER.1.F,ATG,2022,Source,Data sources,Source: UIS Dynamic Template based on Antigua and Barbuda Annual Data Collection Form 2021-2022
GER.1.F,ATG,2023,Source,Data sources,Source: UIS Dynamic Template based on Antigua and Barbuda Annual Data Collection Form 2022-2023
GER.1.F,AUS,2000,Data Status,Data reporting,POPULATION DATA: National population in UIS Education Survey
GER.1.F,AUS,2000,Source,Data sources,UIS Education Survey
GER.1.F,AUS,2001,Data Status,Data reporting,POPULATION DATA: National population in UIS Education Survey
GER.1.F,AUS,2001,Source,Data sources,UIS Education Survey
GER.1.F,AUS,2002,Data Status,Data reporting,POPULATION DATA: National population in UIS Education Survey
GER.1.F,AUS,2002,Source,Data sources,UIS Education Survey
GER.1.F,AUS,2003,Data Status,Data reporting,POPULATION DATA: National population in UIS Education Survey
GER.1.F,AUS,2003,Source,Data sources,UIS Education Survey
GER.1.F,AUS,2004,Data Status,Data reporting,POPULATION DATA: National population in UIS Education Survey
GER.1.F,AUS,2004,Source,Data sources,UIS Education Survey
GER.1.F,AUS,2005,Data Status,Data reporting,POPULATION DATA: National population in UIS Education Survey
GER.1.F,AUS,2005,Source,Data sources,UIS Education Survey
